"TIME","SAIDA","STEP"
0,0,0
1e-010,0,0.01
1.28e-010,0,0.0128
1.84e-010,0,0.0184
2.96e-010,0,0.0296
5.2e-010,0,0.052
9.68e-010,0,0.0968
1.864e-009,0,0.1864
3.656e-009,0,0.3656
7.24e-009,0,0.724
1e-008,0,1
1.07168e-008,0,1
1.21504e-008,0,1
1.50176e-008,0,1
2.0752e-008,0,1
3.22208e-008,0,1
5.51584e-008,0,1
1.010336e-007,0,1
1.92784e-007,0,1
3.762848e-007,0,1
7.432864e-007,0,1
1.4772896e-006,0,1
2.945296e-006,0,1
5.8813088e-006,0,1
1.17533344e-005,0,1
2.34973856e-005,0,1
4.6985488e-005,0,1
9.39616928e-005,0,1
0.0001879141024,0,1
0.0003758189216,0,1
0.00075162856,0,1
0.001503247837,0,1
0.00300648639,0,1
0.006012963498,0,1
0.01202591771,0,1
0.02405182614,0,1
0.048103643,0,1
0.065114875,0,1
0.065114876,0,1
0.065114878,0,1
0.065114882,0,1
0.06511489,0,1
0.065114906,0,1
0.065114938,0,1
0.065115002,0,1
0.06511513,0,1
0.065115386,0,1
0.065115898,0,1
0.065116922,0,1
0.06511897,0,1
0.065123066,0,1
0.065131258,0,1
0.065147642,0,1
0.06518041,0,1
0.065245946,0,1
0.065377018,0,1
0.065639162,0,1
0.06616345,0,1
0.067212026,0,1
0.069309178,0,1
0.073503482,0,1
0.08189209,0,1
0.098669306,0,1
0.132223738,0,1
0.19406925,0,1
0.19406926,0,1
0.19406928,0,1
0.19406932,0,1
0.1940694,0,1
0.19406956,0,1
0.19406988,0,1
0.19407052,0,1
0.1940718,0,1
0.19407436,0,1
0.19407948,0,1
0.19408972,0,1
0.1941102,0,1
0.19415116,0,1
0.19423308,0,1
0.19439692,0,1
0.1947246,0,1
0.19537996,0,1
0.19669068,0,1
0.19931212,0,1
0.204555,0,1
0.21504076,0,1
0.2214766875,0,1
0.2214766975,1.29371e-014,1
0.2214767175,6.98602e-014,1
0.2214767575,3.32741e-013,1
0.2214768375,1.47452e-012,1
0.2214769975,6.238e-012,1
0.2214773175,2.56974e-011,1
0.2214779575,1.04356e-010,1
0.2214792375,4.20639e-010,1
0.2214817975,1.68907e-009,1
0.2214869175,6.76928e-009,1
0.2214971575,2.71024e-008,1
0.2215176375,1.08454e-007,1
